#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"linkage group LG15","NC_043011.1",5125285,5175321,"-",115219861,"LOC115219861","-","XP_029646013.1",400,"methionyl-tRNA formyltransferase, mitochondrial-like"
"linkage group LG15","NC_043011.1",5125285,5175321,"-",115219861,"LOC115219861","-","XP_029646014.1",400,"methionyl-tRNA formyltransferase, mitochondrial-like"
"linkage group LG15","NC_043011.1",5193509,5193883,"-",115219938,"LOC115219938","-","XP_029646101.1",124,"SCAN domain-containing protein 3-like"
"linkage group LG15","NC_043011.1",5235786,5307878,"-",115219906,"LOC115219906","-","XP_029646074.1",206,"cysteine dioxygenase type 1-like"
"linkage group LG15","NC_043011.1",5235786,5307878,"-",115219906,"LOC115219906","-","XP_029646075.1",206,"cysteine dioxygenase type 1-like"
"linkage group LG15","NC_043011.1",5235786,5307878,"-",115219906,"LOC115219906","-","XP_029646076.1",206,"cysteine dioxygenase type 1-like"
"linkage group LG15","NC_043011.1",5235786,5307878,"-",115219906,"LOC115219906","-","XP_029646077.1",206,"cysteine dioxygenase type 1-like"
"linkage group LG15","NC_043011.1",5315707,5316174,"+",115219939,"LOC115219939","-","XP_029646102.1",155,"uncharacterized protein LOC115219939"
"linkage group LG15","NC_043011.1",5460942,5473833,"+",115219940,"LOC115219940","-","XP_029646103.1",139,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial-like"
"linkage group LG15","NC_043011.1",5503802,5526550,"+",115219826,"LOC115219826","-","XP_029645967.1",254,"oxidoreductase NAD-binding domain-containing protein 1-like"
"linkage group LG15","NC_043011.1",5605737,5607701,"+",115219904,"LOC115219904","-","XP_029646071.1",654,"uncharacterized protein LOC115219904"
"linkage group LG15","NC_043011.1",5616287,5618290,"-",115219941,"LOC115219941","-","XP_029646104.1",667,"uncharacterized protein LOC115219941"
"linkage group LG15","NC_043011.1",5684474,5770965,"-",115219631,"LOC115219631","-","XP_029645641.1",335,"pleckstrin homology domain-containing family A member 2-like"
"linkage group LG15","NC_043011.1",6061051,6063327,"+",115219943,"LOC115219943","-","XP_029646105.1",758,"DC-STAMP domain-containing protein 2-like"
"linkage group LG15","NC_043011.1",6118884,6136675,"-",115219886,"LOC115219886","-","XP_029646048.1",354,"mitochondrial coenzyme A transporter SLC25A42-like"
"linkage group LG15","NC_043011.1",6118884,6136675,"-",115219886,"LOC115219886","-","XP_029646049.1",354,"mitochondrial coenzyme A transporter SLC25A42-like"
"linkage group LG15","NC_043011.1",6204201,6233483,"-",115219926,"LOC115219926","-","XP_029646093.1",664,"U4/U6 small nuclear ribonucleoprotein Prp3-like"
"linkage group LG15","NC_043011.1",6244182,6255314,"+",115219737,"LOC115219737","-","XP_029645820.1",788,"glutamine--tRNA ligase-like"
"linkage group LG15","NC_043011.1",6395077,6477490,"+",115219729,"LOC115219729","-","XP_029645804.1",560,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X1"
"linkage group LG15","NC_043011.1",6395077,6477490,"+",115219729,"LOC115219729","-","XP_029645806.1",560,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X1"
"linkage group LG15","NC_043011.1",6395077,6477490,"+",115219729,"LOC115219729","-","XP_029645807.1",560,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X1"
"linkage group LG15","NC_043011.1",6395077,6477490,"+",115219729,"LOC115219729","-","XP_029645808.1",560,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X1"
"linkage group LG15","NC_043011.1",6395077,6477490,"+",115219729,"LOC115219729","-","XP_029645809.1",541,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A-like isoform X2"
"linkage group LG15","NC_043011.1",6521447,6730593,"-",115219911,"LOC115219911","-","XP_029646081.1",1948,"adhesion G protein-coupled receptor A3-like"
"linkage group LG15","NC_043011.1",6749484,6808361,"-",115219912,"LOC115219912","-","XP_029646082.1",980,"insulin-degrading enzyme-like"
"linkage group LG15","NC_043011.1",7048218,7052588,"+",115219987,"LOC115219987","-","XP_029646148.1",409,"putative uncharacterized protein DDB_G0277255"
"linkage group LG15","NC_043011.1",7070418,7173607,"-",115219873,"LOC115219873","-","XP_029646031.1",914,"cilia- and flagella-associated protein 69-like"
"linkage group LG15","NC_043011.1",7177359,7196869,"+",115219780,"LOC115219780","-","XP_029645895.1",192,"uncharacterized protein LOC115219780"
"linkage group LG15","NC_043011.1",7225051,7290951,"-",115219836,"LOC115219836","-","XP_029645982.1",145,"uncharacterized protein LOC115219836"
"linkage group LG15","NC_043011.1",7363734,7441497,"+",115219920,"LOC115219920","-","XP_029646087.1",510,"malonyl-CoA decarboxylase, mitochondrial-like"
"linkage group LG15","NC_043011.1",7444761,7473789,"-",115219789,"LOC115219789","-","XP_029645910.1",426,"uncharacterized protein LOC115219789"
"linkage group LG15","NC_043011.1",7498324,7544649,"+",115219840,"LOC115219840","-","XP_029645986.1",492,"ribosomal biogenesis protein LAS1L-like"
"linkage group LG15","NC_043011.1",7833423,7934483,"+",115220007,"LOC115220007","-","XP_029646169.1",746,"ADAM 17-like protease"
"linkage group LG15","NC_043011.1",7958349,7966601,"-",115219895,"LOC115219895","-","XP_029646062.1",359,"uncharacterized protein LOC115219895"
"linkage group LG15","NC_043011.1",7971199,7982078,"-",115219945,"LOC115219945","-","XP_029646107.1",231,"uncharacterized protein LOC115219945"
"linkage group LG15","NC_043011.1",8011292,8028656,"-",115219946,"LOC115219946","-","XP_029646108.1",279,"uncharacterized protein LOC115219946"
"linkage group LG15","NC_043011.1",8059913,8075997,"-",115219860,"LOC115219860","-","XP_029646012.1",480,"nucleotide exchange factor SIL1-like"
"linkage group LG15","NC_043011.1",8658827,8721420,"+",115219982,"LOC115219982","-","XP_029646143.1",552,"N-acetylglutamate synthase, mitochondrial-like"
"linkage group LG15","NC_043011.1",8658827,8721420,"+",115219982,"LOC115219982","-","XP_029646144.1",552,"N-acetylglutamate synthase, mitochondrial-like"
"linkage group LG15","NC_043011.1",8764554,8765420,"-",115219784,"LOC115219784","-","XP_029645900.1",288,"inositol oxygenase-like"
"linkage group LG15","NC_043011.1",8806014,8806808,"-",115219781,"LOC115219781","-","XP_029645896.1",264,"gem-associated protein 6-like"
"linkage group LG15","NC_043011.1",8807500,8813656,"-",115219782,"LOC115219782","-","XP_029645897.1",91,"mediator of RNA polymerase II transcription subunit 9-like"
"linkage group LG15","NC_043011.1",8889583,8923518,"-",115219828,"LOC115219828","-","XP_029645968.1",328,"sideroflexin-5-like"
"linkage group LG15","NC_043011.1",8932815,8968085,"+",115219981,"LOC115219981","-","XP_029646142.1",552,"coiled-coil domain-containing protein 125-like"
"linkage group LG15","NC_043011.1",8979486,8996538,"-",115219731,"LOC115219731","-","XP_029645813.1",174,"myosin regulatory light chain LC-2, mantle muscle isoform X1"
"linkage group LG15","NC_043011.1",8979486,8996538,"-",115219731,"LOC115219731","-","XP_029645814.1",156,"myosin regulatory light chain LC-2, mantle muscle isoform X2"
"linkage group LG15","NC_043011.1",9060828,9081853,"-",115219806,"LOC115219806","-","XP_029645938.1",978,"uncharacterized protein LOC115219806"
"linkage group LG15","NC_043011.1",9060828,9081853,"-",115219806,"LOC115219806","-","XP_029645939.1",978,"uncharacterized protein LOC115219806"
"linkage group LG15","NC_043011.1",9173757,9189809,"+",115219767,"LOC115219767","-","XP_029645877.1",156,"myosin catalytic light chain LC-1, mantle muscle-like"
"linkage group LG15","NC_043011.1",9225084,9241943,"-",115219710,"LOC115219710","-","XP_029645751.1",160,"myosin catalytic light chain LC-1, mantle muscle-like isoform X2"
"linkage group LG15","NC_043011.1",9225084,9240809,"-",115219710,"LOC115219710","-","XP_029645750.1",160,"myosin catalytic light chain LC-1, mantle muscle-like isoform X1"
"linkage group LG15","NC_043011.1",9361235,10218590,"-",115219822,"LOC115219822","-","XP_029645963.1",909,"peripheral plasma membrane protein CASK-like"
"linkage group LG15","NC_043011.1",9656361,9658234,"-",115219821,"LOC115219821","-","XP_029645962.1",88,"ATP-dependent DNA helicase CHL1-like"
"linkage group LG15","NC_043011.1",10391459,10391779,"+",115219948,"LOC115219948","-","XP_029646110.1",106,"uncharacterized protein LOC115219948"
"linkage group LG15","NC_043011.1",10726718,10799242,"-",115219759,"LOC115219759","-","XP_029645862.1",634,"calpain-5-like"
"linkage group LG15","NC_043011.1",10982372,11001400,"+",115219636,"LOC115219636","-","XP_029645654.1",788,"uncharacterized protein LOC115219636"
"linkage group LG15","NC_043011.1",10982372,11001400,"+",115219636,"LOC115219636","-","XP_029645655.1",788,"uncharacterized protein LOC115219636"
"linkage group LG15","NC_043011.1",11009798,11091761,"-",115219740,"LOC115219740","-","XP_029645825.1",957,"coatomer subunit beta-like"
"linkage group LG15","NC_043011.1",11104594,11122532,"+",115219915,"LOC115219915","-","XP_029646083.1",312,"protein arginine N-methyltransferase 3-like, partial"
"linkage group LG15","NC_043011.1",11133402,11135209,"+",115219998,"LOC115219998","-","XP_029646160.1",201,"protein arginine N-methyltransferase 3-like"
"linkage group LG15","NC_043011.1",11176379,11226215,"+",115219951,"LOC115219951","-","XP_029646113.1",584,"uncharacterized protein LOC115219951"
"linkage group LG15","NC_043011.1",11226545,11295527,"+",115219803,"LOC115219803","-","XP_029645935.1",1378,"uncharacterized protein LOC115219803"
"linkage group LG15","NC_043011.1",11308766,11325887,"+",115219878,"LOC115219878","-","XP_029646038.1",196,"peptidoglycan recognition protein 1-like"
"linkage group LG15","NC_043011.1",11365436,11366014,"+",115219953,"LOC115219953","-","XP_029646115.1",192,"protein GVQW3-like"
"linkage group LG15","NC_043011.1",11430157,11521996,"+",115219814,"LOC115219814","-","XP_029645948.1",532,"synaptic vesicle glycoprotein 2C-like isoform X1"
"linkage group LG15","NC_043011.1",11451499,11521996,"+",115219814,"LOC115219814","-","XP_029645949.1",454,"synaptic vesicle glycoprotein 2C-like isoform X2"
"linkage group LG15","NC_043011.1",11528665,11588682,"-",115219725,"LOC115219725","-","XP_029645799.1",226,"charged multivesicular body protein 3-like isoform X1"
"linkage group LG15","NC_043011.1",11528665,11562138,"-",115219725,"LOC115219725","-","XP_029645800.1",204,"charged multivesicular body protein 3-like isoform X2"
"linkage group LG15","NC_043011.1",11528665,11562138,"-",115219725,"LOC115219725","-","XP_029645801.1",204,"charged multivesicular body protein 3-like isoform X2"
"linkage group LG15","NC_043011.1",11617025,11679490,"+",115219790,"LOC115219790","-","XP_029645911.1",906,"metal transporter CNNM4-like"
"linkage group LG15","NC_043011.1",11693728,11733068,"-",115219984,"LOC115219984","-","XP_029646145.1",941,"uncharacterized protein LOC115219984"
"linkage group LG15","NC_043011.1",11770540,11815154,"+",115219954,"LOC115219954","-","XP_029646116.1",582,"putative uncharacterized protein DDB_G0279653"
"linkage group LG15","NC_043011.1",12006966,12009350,"-",115219871,"LOC115219871","-","XP_029646028.1",794,"zinc finger protein 678-like"
"linkage group LG15","NC_043011.1",12038927,12229824,"+",115219833,"LOC115219833","-","XP_029645979.1",506,"protein STIP1 homolog isoform X1"
"linkage group LG15","NC_043011.1",12038927,12229824,"+",115219833,"LOC115219833","-","XP_029645981.1",471,"uncharacterized protein LOC115219833 isoform X3"
"linkage group LG15","NC_043011.1",12038927,12188630,"+",115219833,"LOC115219833","-","XP_029645980.1",481,"tetratricopeptide repeat protein 31-like isoform X2"
"linkage group LG15","NC_043011.1",12264416,12996823,"-",115219746,"LOC115219746","-","XP_029645840.1",685,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X3"
"linkage group LG15","NC_043011.1",12264416,12745861,"-",115219746,"LOC115219746","-","XP_029645841.1",680,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X4"
"linkage group LG15","NC_043011.1",12264416,12745861,"-",115219746,"LOC115219746","-","XP_029645839.1",687,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X2"
"linkage group LG15","NC_043011.1",12264416,12745861,"-",115219746,"LOC115219746","-","XP_029645838.1",687,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X1"
"linkage group LG15","NC_043011.1",12264416,12471719,"-",115219746,"LOC115219746","-","XP_029645844.1",622,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X7"
"linkage group LG15","NC_043011.1",12264416,12471719,"-",115219746,"LOC115219746","-","XP_029645843.1",629,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X6"
"linkage group LG15","NC_043011.1",12264416,12471719,"-",115219746,"LOC115219746","-","XP_029645842.1",629,"cAMP-specific 3\\',5\\'-cyclic phosphodiesterase 4C-like isoform X5"
"linkage group LG15","NC_043011.1",13185626,13241002,"-",115219641,"LOC115219641","-","XP_029645662.1",208,"ras-related protein Rab-8A-like"
"linkage group LG15","NC_043011.1",13265062,13267672,"+",115219794,"LOC115219794","-","XP_029645919.1",236,"gem-associated protein 8-like"
"linkage group LG15","NC_043011.1",13265062,13267672,"+",115219794,"LOC115219794","-","XP_029645920.1",236,"gem-associated protein 8-like"
"linkage group LG15","NC_043011.1",13289078,13302398,"-",115219807,"LOC115219807","-","XP_029645941.1",326,"solute carrier family 25 member 44-like"
"linkage group LG15","NC_043011.1",13307601,13392429,"+",115219730,"LOC115219730","-","XP_029645811.1",928,"cytoplasmic aconitate hydratase-like isoform X2"
"linkage group LG15","NC_043011.1",13332811,13392429,"+",115219730,"LOC115219730","-","XP_029645810.1",931,"cytoplasmic aconitate hydratase-like isoform X1"
"linkage group LG15","NC_043011.1",13332811,13392429,"+",115219730,"LOC115219730","-","XP_029645812.1",900,"cytoplasmic aconitate hydratase-like isoform X3"
"linkage group LG15","NC_043011.1",13425596,13454448,"+",115220020,"LOC115220020","-","XP_029646191.1",569,"pyruvate kinase PKM-like isoform X1"
"linkage group LG15","NC_043011.1",13425596,13448624,"+",115220020,"LOC115220020","-","XP_029646192.1",560,"pyruvate kinase PKM-like isoform X2"
"linkage group LG15","NC_043011.1",13461009,13499039,"-",115219823,"LOC115219823","-","XP_029645964.1",536,"pyruvate kinase PKM-like"
"linkage group LG15","NC_043011.1",13602168,13622693,"+",115219798,"LOC115219798","-","XP_029645925.1",601,"potassium voltage-gated channel protein Shaw-like"
"linkage group LG15","NC_043011.1",13640122,13641027,"-",115219955,"LOC115219955","-","XP_029646117.1",301,"uncharacterized protein LOC115219955"
"linkage group LG15","NC_043011.1",13646904,13648016,"+",115219957,"LOC115219957","-","XP_029646118.1",370,"uncharacterized protein LOC115219957"
"linkage group LG15","NC_043011.1",13782737,13785256,"+",115220017,"LOC115220017","-","XP_029646181.1",239,"uncharacterized protein LOC115220017"
"linkage group LG15","NC_043011.1",13810817,13825554,"-",115219891,"LOC115219891","-","XP_029646055.1",162,"signal recognition particle 19 kDa protein-like"
"linkage group LG15","NC_043011.1",13834002,13851792,"+",115219851,"LOC115219851","-","XP_029646000.1",406,"interleukin enhancer-binding factor 2 homolog isoform X1"
"linkage group LG15","NC_043011.1",13834002,13851792,"+",115219851,"LOC115219851","-","XP_029646001.1",401,"interleukin enhancer-binding factor 2 homolog isoform X2"
"linkage group LG15","NC_043011.1",13852724,13872090,"-",115219850,"LOC115219850","-","XP_029645999.1",614,"mini-chromosome maintenance complex-binding protein-like"
"linkage group LG15","NC_043011.1",13885977,13943836,"+",115219711,"LOC115219711","-","XP_029645752.1",1203,"phospholipase DDHD2-like isoform X1"
"linkage group LG15","NC_043011.1",13885977,13943836,"+",115219711,"LOC115219711","-","XP_029645753.1",1197,"phospholipase DDHD2-like isoform X2"
"linkage group LG15","NC_043011.1",13885977,13943836,"+",115219711,"LOC115219711","-","XP_029645754.1",1190,"phospholipase DDHD2-like isoform X3"
"linkage group LG15","NC_043011.1",13885977,13943836,"+",115219711,"LOC115219711","-","XP_029645755.1",1184,"phospholipase DDHD2-like isoform X4"
"linkage group LG15","NC_043011.1",13954734,14046627,"-",115219800,"LOC115219800","-","XP_029645932.1",380,"protrudin-like isoform X4"
"linkage group LG15","NC_043011.1",13954734,14046627,"-",115219800,"LOC115219800","-","XP_029645929.1",394,"protrudin-like isoform X1"
"linkage group LG15","NC_043011.1",13954734,14045635,"-",115219800,"LOC115219800","-","XP_029645930.1",391,"protrudin-like isoform X2"
"linkage group LG15","NC_043011.1",13954734,13987379,"-",115219800,"LOC115219800","-","XP_029645931.1",387,"protrudin-like isoform X3"
"linkage group LG15","NC_043011.1",14055494,14105699,"-",115219976,"LOC115219976","-","XP_029646138.1",371,"vacuolar protein sorting-associated protein 37A-like"
"linkage group LG15","NC_043011.1",14142907,14143683,"-",115219812,"LOC115219812","-","XP_029645947.1",258,"protein FRG1-like"
"linkage group LG15","NC_043011.1",14164080,14187752,"-",115219897,"LOC115219897","-","XP_029646063.1",259,"polycomb group RING finger protein 3-like isoform X1"
"linkage group LG15","NC_043011.1",14164080,14181779,"-",115219897,"LOC115219897","-","XP_029646064.1",227,"polycomb group RING finger protein 3-like isoform X2"
"linkage group LG15","NC_043011.1",14781609,14987460,"-",115219900,"LOC115219900","-","XP_029646067.1",398,"uncharacterized protein LOC115219900"
"linkage group LG15","NC_043011.1",18389057,18390001,"-",115219960,"LOC115219960","-","XP_029646122.1",314,"craniofacial development protein 2-like"
"linkage group LG15","NC_043011.1",19554620,19555081,"+",115219961,"LOC115219961","-","XP_029646123.1",153,"uncharacterized protein LOC115219961"
"linkage group LG15","NC_043011.1",20410768,20411424,"-",115219962,"LOC115219962","-","XP_029646124.1",218,"uncharacterized protein LOC115219962"
"linkage group LG15","NC_043011.1",20429550,20430350,"-",115219965,"LOC115219965","-","XP_029646127.1",192,"zinc finger BED domain-containing protein 5-like"
"linkage group LG15","NC_043011.1",20438026,20485872,"+",115219901,"LOC115219901","-","XP_029646068.1",399,"lysosomal acid phosphatase-like isoform X1"
"linkage group LG15","NC_043011.1",20438026,20482861,"+",115219901,"LOC115219901","-","XP_029646069.1",371,"lysosomal acid phosphatase-like isoform X2"
"linkage group LG15","NC_043011.1",20533895,20652874,"-",115219830,"LOC115219830","-","XP_029645972.1",595,"C-Jun-amino-terminal kinase-interacting protein 2-like"
"linkage group LG15","NC_043011.1",20673577,20681640,"-",115219888,"LOC115219888","-","XP_029646052.1",283,"retinaldehyde-binding protein 1-like"
"linkage group LG15","NC_043011.1",20673577,20681640,"-",115219888,"LOC115219888","-","XP_029646053.1",283,"retinaldehyde-binding protein 1-like"
"linkage group LG15","NC_043011.1",20803564,20843291,"+",115219643,"LOC115219643","-","XP_029645666.1",410,"tripartite motif-containing protein 2-like isoform X2"
"linkage group LG15","NC_043011.1",20803564,20843291,"+",115219643,"LOC115219643","-","XP_029645667.1",410,"tripartite motif-containing protein 2-like isoform X2"
"linkage group LG15","NC_043011.1",20831300,20843291,"+",115219643,"LOC115219643","-","XP_029645665.1",431,"tripartite motif-containing protein 2-like isoform X1"
"linkage group LG15","NC_043011.1",20842302,20843291,"+",115219643,"LOC115219643","-","XP_029645668.1",329,"tripartite motif-containing protein 2-like isoform X3"
"linkage group LG15","NC_043011.1",20859411,20896190,"-",115219864,"LOC115219864","-","XP_029646018.1",382,"CTD small phosphatase-like protein 3 isoform X3"
"linkage group LG15","NC_043011.1",20859411,20896190,"-",115219864,"LOC115219864","-","XP_029646017.1",407,"CTD small phosphatase-like protein 3 isoform X2"
"linkage group LG15","NC_043011.1",20859411,20896190,"-",115219864,"LOC115219864","-","XP_029646016.1",450,"CTD small phosphatase-like protein 2-B isoform X1"
"linkage group LG15","NC_043011.1",21022873,21087205,"+",115219815,"LOC115219815","-","XP_029645950.1",547,"high-affinity choline transporter 1-like isoform X1"
"linkage group LG15","NC_043011.1",21022873,21087205,"+",115219815,"LOC115219815","-","XP_029645951.1",547,"high-affinity choline transporter 1-like isoform X1"
"linkage group LG15","NC_043011.1",21022873,21087205,"+",115219815,"LOC115219815","-","XP_029645953.1",547,"high-affinity choline transporter 1-like isoform X1"
"linkage group LG15","NC_043011.1",21024997,21087205,"+",115219815,"LOC115219815","-","XP_029645954.1",446,"high-affinity choline transporter 1-like isoform X2"
"linkage group LG15","NC_043011.1",21151850,21153035,"+",115219966,"LOC115219966","-","XP_029646129.1",140,"uncharacterized protein LOC115219966"
"linkage group LG15","NC_043011.1",21394659,21593303,"+",115219967,"LOC115219967","-","XP_029646130.1",1639,"LOW QUALITY PROTEIN: aminopeptidase N-like"
"linkage group LG15","NC_043011.1",21681098,21683163,"-",115219628,"LOC115219628","-","XP_029645637.1",78,"migration and invasion enhancer 1-like"
"linkage group LG15","NC_043011.1",21733685,21743813,"+",115219881,"LOC115219881","-","XP_029646044.1",129,"snRNA-activating protein complex subunit 5-like"
"linkage group LG15","NC_043011.1",21751108,21782217,"-",115219771,"LOC115219771","-","XP_029645882.1",526,"general transcription factor IIF subunit 1-like"
"linkage group LG15","NC_043011.1",21787170,21984570,"+",115219968,"LOC115219968","-","XP_029646131.1",547,"G patch domain-containing protein 4-like"
"linkage group LG15","NC_043011.1",22010213,22131182,"+",115219905,"LOC115219905","-","XP_029646072.1",2488,"vacuolar protein sorting-associated protein 13C-like isoform X1"
"linkage group LG15","NC_043011.1",22010213,22131182,"+",115219905,"LOC115219905","-","XP_029646073.1",2452,"vacuolar protein sorting-associated protein 13C-like isoform X2"
"linkage group LG15","NC_043011.1",22199996,22205932,"+",115219923,"LOC115219923","-","XP_029646089.1",273,"acidic leucine-rich nuclear phosphoprotein 32 family member A-like isoform X1"
"linkage group LG15","NC_043011.1",22199996,22205932,"+",115219923,"LOC115219923","-","XP_029646090.1",261,"acidic leucine-rich nuclear phosphoprotein 32 family member A-like isoform X2"
"linkage group LG15","NC_043011.1",22211195,22265495,"+",115219949,"LOC115219949","-","XP_029646111.1",286,"protein KTI12 homolog isoform X1"
"linkage group LG15","NC_043011.1",22211195,22265455,"+",115219949,"LOC115219949","-","XP_029646112.1",274,"protein KTI12 homolog isoform X2"
"linkage group LG15","NC_043011.1",22271050,22370853,"-",115219633,"LOC115219633","-","XP_029645645.1",722,"HBS1-like protein isoform X2"
"linkage group LG15","NC_043011.1",22348149,22370853,"-",115219633,"LOC115219633","-","XP_029645643.1",751,"uncharacterized protein LOC115219633 isoform X1"
"linkage group LG15","NC_043011.1",22348149,22370853,"-",115219633,"LOC115219633","-","XP_029645644.1",751,"uncharacterized protein LOC115219633 isoform X1"
"linkage group LG15","NC_043011.1",22440447,22497841,"+",115219635,"LOC115219635","-","XP_029645652.1",842,"dipeptidyl peptidase 9-like"
"linkage group LG15","NC_043011.1",22440447,22497841,"+",115219635,"LOC115219635","-","XP_029645653.1",842,"dipeptidyl peptidase 9-like"
"linkage group LG15","NC_043011.1",22569260,22657584,"-",115219843,"LOC115219843","-","XP_029645988.1",225,"ras-related and estrogen-regulated growth inhibitor-like"
"linkage group LG15","NC_043011.1",22726789,22756173,"-",115219971,"LOC115219971","-","XP_029646134.1",198,"ribose-5-phosphate isomerase-like"
"linkage group LG15","NC_043011.1",22761399,22764663,"+",115219972,"LOC115219972","-","XP_029646135.1",437,"octopine dehydrogenase-like"
"linkage group LG15","NC_043011.1",22823384,22824478,"-",115219817,"LOC115219817","-","XP_029645956.1",364,"nicotinamidase-like"
"linkage group LG15","NC_043011.1",22838152,22881613,"-",115219973,"LOC115219973","-","XP_029646136.1",722,"nucleolar complex protein 3 homolog"
"linkage group LG15","NC_043011.1",22892768,22918227,"+",115219760,"LOC115219760","-","XP_029645863.1",373,"phosphoserine aminotransferase-like"
"linkage group LG15","NC_043011.1",22926241,22938606,"+",115219791,"LOC115219791","-","XP_029645912.1",74,"small integral membrane protein 7-like"
"linkage group LG15","NC_043011.1",22949323,22968977,"-",115219749,"LOC115219749","-","XP_029645846.1",694,"LOW QUALITY PROTEIN: serotransferrin-1-like"
"linkage group LG15","NC_043011.1",23155415,23203594,"+",115219975,"LOC115219975","-","XP_029646137.1",428,"sulfide:quinone oxidoreductase, mitochondrial-like"
"linkage group LG15","NC_043011.1",23220683,23233286,"-",115219724,"LOC115219724","-","XP_029645797.1",394,"uncharacterized protein LOC115219724"
"linkage group LG15","NC_043011.1",23220683,23233286,"-",115219724,"LOC115219724","-","XP_029645798.1",394,"uncharacterized protein LOC115219724"
"linkage group LG15","NC_043011.1",23447609,23731033,"-",115219721,"LOC115219721","-","XP_029645784.1",882,"phosphatidylinositol 4-phosphate 5-kinase type-1 alpha-like isoform X3"
"linkage group LG15","NC_043011.1",23447609,23731033,"-",115219721,"LOC115219721","-","XP_029645783.1",951,"phosphatidylinositol 4-phosphate 5-kinase type-1 gamma-like isoform X2"
